IID pT_0.1 pT_0.2 pT_0.3 pT_0.4 pT_0.5 pT_0.6 pT_0.7 pT_0.8 pT_0.9 pT_1 pT_1.1
GSP_Buckner_HU_00139 -0.0000951406 -0.0000753047 -0.0000683784 -0.0000696417 -0.0000638328 -0.0000571837 -0.0000506614 -0.0000458717 -0.0000414687 -0.0000375729 -0.0000375729
GSP_Buckner_HU_00140 -0.000136152 -0.0000956649 -0.0000756814 -0.0000760974 -0.0000686832 -0.000060853 -0.0000541733 -0.0000495646 -0.0000448252 -0.0000405972 -0.0000405972
GSP_Buckner_HU_00142 -0.0000645441 -0.0000502261 -0.0000408183 -0.0000424332 -0.0000379448 -0.0000333855 -0.000030637 -0.0000286547 -0.0000261487 -0.0000238536 -0.0000238536
GSP_Buckner_HU_00143 -0.00015275 -0.0000957535 -0.0000760804 -0.0000706529 -0.000063376 -0.0000564913 -0.0000507642 -0.0000465532 -0.0000420203 -0.0000380308 -0.0000380308
GSP_Buckner_HU_00144 -0.000102699 -0.0000800883 -0.0000720416 -0.0000714823 -0.0000627441 -0.0000561216 -0.0000500728 -0.0000458691 -0.000041395 -0.0000374205 -0.0000374205
GSP_Buckner_HU_00146 -0.000100324 -0.0000747521 -0.0000631968 -0.0000603928 -0.0000539889 -0.0000486605 -0.0000439131 -0.0000408716 -0.000036682 -0.0000332632 -0.0000332632
GSP_Buckner_HU_00147 -0.000104502 -0.0000835038 -0.0000691275 -0.0000688798 -0.0000614869 -0.0000549894 -0.0000498473 -0.0000455531 -0.0000412785 -0.000037387 -0.000037387
GSP_Buckner_HU_00151 -0.000154772 -0.000114453 -0.0000922299 -0.0000856224 -0.0000755433 -0.0000668072 -0.0000589764 -0.0000533574 -0.0000479023 -0.0000433668 -0.0000433668
GSP_Buckner_HU_00156 -0.00017451 -0.000122454 -0.000106357 -0.0000993047 -0.0000858439 -0.0000757499 -0.0000672944 -0.0000610857 -0.0000550584 -0.0000497892 -0.0000497892
GSP_Buckner_HU_00158 -0.0000602265 -0.000055901 -0.0000513354 -0.0000522406 -0.0000461612 -0.0000424175 -0.0000376587 -0.0000351708 -0.0000320541 -0.0000291244 -0.0000291244
GSP_Buckner_HU_00160 -0.000140524 -0.0000857255 -0.0000638031 -0.0000613206 -0.00005664 -0.0000500109 -0.0000448382 -0.0000409073 -0.0000368718 -0.0000333899 -0.0000333899
GSP_Buckner_HU_00163 -0.0000932271 -0.0000823136 -0.0000710438 -0.0000690523 -0.0000622663 -0.0000559056 -0.0000503598 -0.0000464948 -0.000042177 -0.0000382266 -0.0000382266
GSP_Buckner_HU_00164 -0.000207243 -0.000136946 -0.000106218 -0.0000912351 -0.000076062 -0.0000660105 -0.0000580697 -0.000052716 -0.0000476054 -0.0000431695 -0.0000431695
GSP_Buckner_HU_00165 -0.000112062 -0.0000848938 -0.0000622178 -0.0000599231 -0.0000532209 -0.0000474723 -0.0000422898 -0.0000390999 -0.0000354028 -0.0000320964 -0.0000320964
GSP_Buckner_HU_00169 -0.000146994 -0.0000977663 -0.0000748484 -0.0000703439 -0.0000639033 -0.0000567704 -0.0000511218 -0.0000468568 -0.0000422605 -0.000038295 -0.000038295
GSP_Buckner_HU_00170 -0.000100303 -0.000071111 -0.0000607632 -0.0000640902 -0.0000579626 -0.0000512293 -0.0000452306 -0.0000413915 -0.0000374533 -0.0000338783 -0.0000338783
GSP_Buckner_HU_00173 -0.000131039 -0.0000938002 -0.000077044 -0.000073801 -0.0000634966 -0.0000565222 -0.0000507279 -0.0000466969 -0.0000423331 -0.0000383302 -0.0000383302
GSP_Buckner_HU_00174 -0.000175929 -0.00012512 -0.000101266 -0.0000940739 -0.0000825893 -0.0000745598 -0.0000665283 -0.0000600114 -0.0000539581 -0.0000488473 -0.0000488473
GSP_Buckner_HU_00176 -0.000149118 -0.000109493 -0.0000857966 -0.0000811068 -0.0000702328 -0.0000631869 -0.0000564555 -0.0000514757 -0.0000463615 -0.0000420102 -0.0000420102
GSP_Buckner_HU_00180 -0.000217454 -0.000155114 -0.000123551 -0.000111618 -0.0000995215 -0.0000890171 -0.0000789648 -0.0000714371 -0.0000646368 -0.000058541 -0.000058541
GSP_Buckner_HU_00181 -0.000151863 -0.000105069 -0.0000828715 -0.0000744555 -0.0000643545 -0.0000574219 -0.000050801 -0.0000463758 -0.0000420341 -0.0000380888 -0.0000380888
GSP_Buckner_HU_00182 -0.000152031 -0.000102311 -0.0000818628 -0.0000746359 -0.0000665746 -0.0000600755 -0.0000538417 -0.0000497686 -0.0000451851 -0.0000409442 -0.0000409442
GSP_Buckner_HU_00183 -0.000110786 -0.0000810674 -0.0000673768 -0.0000626226 -0.0000572967 -0.0000502942 -0.0000439145 -0.0000402396 -0.0000362621 -0.0000328761 -0.0000328761
GSP_Buckner_HU_00186 -0.00014495 -0.000096495 -0.000075942 -0.0000708401 -0.0000621329 -0.0000551245 -0.0000486303 -0.0000445631 -0.0000400665 -0.0000363455 -0.0000363455
