IID pT_0.1 pT_0.2 pT_0.3 pT_0.4 pT_0.5 pT_0.6 pT_0.7 pT_0.8 pT_0.9 pT_1 pT_1.1
GSP_Buckner_HU_00164 0.000102189 0.0000718232 0.0000538035 0.000044855 0.0000387897 0.0000328045 0.0000296434 0.0000261836 0.0000235353 0.0000215983 0.0000215983
GSP_Buckner_HU_00165 0.00010183 0.0000711299 0.0000545811 0.0000457679 0.0000400673 0.0000340364 0.0000309224 0.0000275081 0.0000248987 0.0000228635 0.0000228635
GSP_Buckner_HU_00169 0.000111743 0.0000717178 0.0000532466 0.0000457688 0.0000396407 0.000033708 0.0000310638 0.0000278517 0.0000252892 0.0000232353 0.0000232353
GSP_Buckner_HU_00170 0.000143141 0.0000930242 0.0000699728 0.0000577551 0.0000488265 0.0000410845 0.000037051 0.0000328721 0.0000295445 0.0000271324 0.0000271324
GSP_Buckner_HU_00173 0.000110191 0.0000767125 0.0000601414 0.0000496034 0.0000412152 0.0000346843 0.0000312151 0.0000278641 0.0000252444 0.0000232023 0.0000232023
GSP_Buckner_HU_00174 0.0000889315 0.0000630116 0.0000491338 0.0000418188 0.0000362737 0.0000307077 0.0000279699 0.0000243747 0.0000218764 0.0000200797 0.0000200797
GSP_Buckner_HU_00176 0.000096015 0.0000619864 0.000046587 0.0000377007 0.0000317126 0.0000257738 0.0000236604 0.0000208517 0.0000186852 0.0000171726 0.0000171726
GSP_Buckner_HU_00180 0.000121389 0.0000818203 0.000063459 0.0000526365 0.0000460082 0.0000389221 0.0000352042 0.0000313293 0.0000280724 0.000025743 0.000025743
GSP_Buckner_HU_00181 0.0000758149 0.0000536336 0.000038944 0.0000310088 0.0000257955 0.0000195853 0.0000176687 0.0000155246 0.0000137866 0.0000126751 0.0000126751
GSP_Buckner_HU_00182 0.000109526 0.0000772002 0.0000602538 0.000049049 0.000041957 0.0000355871 0.000032448 0.0000286576 0.0000256405 0.0000235685 0.0000235685
GSP_Buckner_HU_00183 0.0000890456 0.0000621311 0.000046346 0.0000391078 0.0000334729 0.000028119 0.0000258637 0.0000230816 0.0000207878 0.0000190908 0.0000190908
GSP_Buckner_HU_00186 0.0000673659 0.0000485935 0.0000369171 0.0000311246 0.0000266816 0.0000220701 0.0000203394 0.0000180098 0.0000160013 0.0000147356 0.0000147356
GSP_Buckner_HU_00188 0.000115028 0.0000757911 0.00005804 0.0000471759 0.0000399659 0.0000330413 0.000029625 0.0000260583 0.0000234287 0.0000215031 0.0000215031
GSP_Buckner_HU_00190 0.000097063 0.0000653277 0.0000524287 0.0000439342 0.0000384944 0.0000325672 0.0000298795 0.0000265533 0.0000239147 0.0000219461 0.0000219461
GSP_Buckner_HU_00193 0.0000681145 0.000045689 0.0000348905 0.0000300653 0.0000252567 0.0000207317 0.0000193801 0.0000169694 0.0000152381 0.0000140227 0.0000140227
GSP_Buckner_HU_00194 0.000108019 0.0000752277 0.0000601503 0.0000485696 0.0000414903 0.0000353778 0.0000324976 0.0000289936 0.0000261866 0.0000240343 0.0000240343
GSP_Buckner_HU_00195 0.0000439978 0.0000326405 0.000025094 0.0000203172 0.0000179797 0.0000146038 0.0000139035 0.0000118639 0.0000105949 0.00000978186 0.00000978186
GSP_Buckner_HU_00198 0.0000792144 0.0000574801 0.0000469913 0.0000370969 0.0000323414 0.0000272219 0.0000256062 0.0000231242 0.0000207386 0.0000190501 0.0000190501
GSP_Buckner_HU_00199 0.000101207 0.0000751073 0.0000570337 0.0000466295 0.0000403985 0.0000337794 0.0000307652 0.0000273905 0.0000248303 0.0000228191 0.0000228191
GSP_Buckner_HU_00200 0.0000836725 0.0000546248 0.0000432835 0.000035233 0.000030186 0.0000245997 0.0000228052 0.0000200258 0.000018 0.0000165564 0.0000165564
GSP_Buckner_HU_00202 0.0000976131 0.000063408 0.0000482767 0.0000393878 0.0000342463 0.0000281716 0.0000254534 0.0000225323 0.0000200962 0.000018453 0.000018453
GSP_Buckner_HU_00204 0.000126689 0.0000882428 0.0000678603 0.0000563227 0.0000478836 0.0000407477 0.000037094 0.0000328782 0.0000297939 0.0000273533 0.0000273533
GSP_Buckner_HU_00207 0.000105738 0.0000741578 0.000056803 0.0000486585 0.0000427183 0.0000362156 0.0000332802 0.0000297582 0.0000269063 0.0000246953 0.0000246953
GSP_Buckner_HU_00209 0.0000940343 0.0000669143 0.0000530031 0.0000436489 0.000037194 0.0000306858 0.000028259 0.0000250889 0.0000226188 0.000020778 0.000020778
GSP_Buckner_HU_00211 0.0000925187 0.0000646668 0.0000506883 0.0000413701 0.0000353606 0.0000289345 0.0000262332 0.0000232234 0.0000208946 0.0000192218 0.0000192218
GSP_Buckner_HU_00212 0.000117177 0.000080343 0.0000657375 0.0000543127 0.0000473652 0.0000400083 0.0000366421 0.0000327968 0.0000295491 0.0000271377 0.0000271377
GSP_Buckner_HU_00217 0.000122018 0.0000838573 0.0000626032 0.0000508204 0.0000427283 0.0000357215 0.0000324398 0.0000289236 0.0000260603 0.0000239297 0.0000239297
GSP_Buckner_HU_00219 0.0000853305 0.0000602911 0.0000471399 0.0000389451 0.0000342855 0.0000284763 0.0000257704 0.0000227333 0.0000203029 0.0000186676 0.0000186676
GSP_Buckner_HU_00221 0.000104453 0.0000688152 0.0000523411 0.0000443523 0.0000384521 0.0000320801 0.000029748 0.0000262543 0.0000236464 0.0000217215 0.0000217215
GSP_Buckner_HU_00225 0.000104091 0.0000715611 0.0000573618 0.0000477572 0.0000409524 0.0000343411 0.0000311441 0.0000274483 0.0000245773 0.0000225549 0.0000225549
GSP_Buckner_HU_00226 0.000120381 0.000084365 0.0000641706 0.000052056 0.000045058 0.0000378825 0.0000343894 0.000030302 0.0000273167 0.0000250489 0.0000250489
GSP_Buckner_HU_00228 0.0000696807 0.0000439387 0.0000310194 0.0000255465 0.0000215614 0.0000168587 0.0000156878 0.0000138655 0.0000122531 0.0000112878 0.0000112878
GSP_Buckner_HU_00231 0.0000560818 0.0000395374 0.0000305165 0.0000245078 0.0000196783 0.0000155543 0.0000144232 0.0000124543 0.000011021 0.0000101443 0.0000101443
GSP_Buckner_HU_00233 0.0000898298 0.0000622119 0.0000478523 0.0000386967 0.000033789 0.0000283255 0.0000256729 0.0000227763 0.0000206086 0.0000189538 0.0000189538
GSP_Buckner_HU_00236 0.0000924637 0.0000677075 0.0000545633 0.0000453788 0.0000388419 0.0000328586 0.000029981 0.0000263964 0.0000237949 0.0000218598 0.0000218598
GSP_Buckner_HU_00237 0.000109856 0.0000780814 0.0000620712 0.0000498609 0.0000426406 0.0000359958 0.0000334092 0.0000298631 0.0000269434 0.0000247256 0.0000247256
GSP_Buckner_HU_00238 0.0000737679 0.0000514406 0.0000388686 0.0000326511 0.0000278849 0.0000226506 0.000021017 0.0000185488 0.0000166809 0.0000153555 0.0000153555
GSP_Buckner_HU_00241 0.0000770483 0.0000512341 0.0000392833 0.0000311041 0.0000272369 0.0000215989 0.0000196452 0.0000169596 0.0000149798 0.000013763 0.000013763
GSP_Buckner_HU_00242 0.0000780127 0.0000517744 0.0000399691 0.0000314438 0.0000274198 0.0000224159 0.0000203825 0.0000178941 0.000016213 0.0000149155 0.0000149155
GSP_Buckner_HU_00243 0.0000892 0.0000628232 0.000047364 0.0000368598 0.0000318874 0.000026946 0.0000245803 0.0000218864 0.0000196809 0.0000180944 0.0000180944
GSP_Buckner_HU_00244 0.000130657 0.0000914411 0.0000730769 0.0000599214 0.0000520527 0.0000448361 0.0000404206 0.0000359889 0.0000324517 0.0000297681 0.0000297681
GSP_Buckner_HU_00246 0.000119956 0.0000838106 0.0000637207 0.0000526884 0.0000455217 0.000037939 0.0000346249 0.000030686 0.0000275318 0.0000252539 0.0000252539
GSP_Buckner_HU_00248 0.00009252 0.0000682857 0.0000535558 0.0000430766 0.0000366441 0.0000304923 0.0000279481 0.0000248589 0.0000222817 0.000020456 0.000020456
GSP_Buckner_HU_00250 0.0000956397 0.0000710895 0.0000584146 0.0000495427 0.0000425727 0.0000357677 0.0000325431 0.0000291202 0.0000261548 0.0000239961 0.0000239961
GSP_Buckner_HU_00251 0.000109616 0.0000705884 0.0000555386 0.0000465236 0.0000400602 0.0000338812 0.000031242 0.0000278091 0.0000250334 0.0000229792 0.0000229792
GSP_Buckner_HU_00253 0.0000903768 0.0000600644 0.0000444179 0.0000364199 0.0000309052 0.0000248289 0.0000226186 0.0000198138 0.0000177691 0.0000163325 0.0000163325
GSP_Buckner_HU_00255 0.0000812657 0.0000566979 0.0000461591 0.0000373415 0.0000328866 0.0000270862 0.0000249995 0.0000224037 0.0000200402 0.0000184239 0.0000184239
GSP_Buckner_HU_00256 0.0001007 0.0000679268 0.0000531128 0.0000426282 0.0000362524 0.0000309117 0.0000281549 0.0000249129 0.000022429 0.0000206217 0.0000206217
GSP_Buckner_HU_00258 0.000077667 0.0000554592 0.0000435761 0.0000356828 0.0000324621 0.0000267754 0.0000244632 0.0000216299 0.0000194481 0.0000178757 0.0000178757
GSP_Buckner_HU_00259 0.000101148 0.0000700986 0.0000536994 0.0000461444 0.0000396772 0.0000333053 0.0000304101 0.0000273122 0.0000245051 0.0000225217 0.0000225217
GSP_Buckner_HU_00260 0.0000496582 0.0000328282 0.0000245389 0.0000197942 0.0000163333 0.0000119742 0.0000111725 0.00000970408 0.00000858921 0.00000792811 0.00000792811
GSP_Buckner_HU_00261 0.0000928453 0.0000637575 0.0000499583 0.0000425315 0.0000364797 0.000030503 0.0000278966 0.0000246345 0.0000221648 0.000020349 0.000020349
GSP_Buckner_HU_00263 0.0000980741 0.0000646555 0.0000523215 0.0000430186 0.0000371344 0.000031268 0.0000287252 0.0000257234 0.0000230957 0.0000211785 0.0000211785
GSP_Buckner_HU_00264 0.000127326 0.0000880952 0.000070133 0.0000579514 0.0000506197 0.0000434504 0.0000399051 0.000035517 0.000032114 0.00002945 0.00002945
GSP_Buckner_HU_00266 0.000100078 0.0000673775 0.0000511815 0.0000413978 0.0000347754 0.0000285432 0.0000260851 0.0000228112 0.0000204333 0.0000187778 0.0000187778
GSP_Buckner_HU_00270 0.000127721 0.0000859227 0.0000676228 0.0000570511 0.0000488503 0.0000408882 0.0000369244 0.0000329271 0.0000294391 0.0000269999 0.0000269999
GSP_Buckner_HU_00272 0.0000978601 0.0000705211 0.0000541022 0.0000446194 0.0000379015 0.0000315323 0.0000287365 0.0000256614 0.0000231477 0.0000212681 0.0000212681
GSP_Buckner_HU_00273 0.0000534568 0.0000342333 0.000026243 0.0000221846 0.0000201539 0.0000162157 0.0000152629 0.0000131254 0.0000116629 0.0000107442 0.0000107442
GSP_Buckner_HU_00276 0.000055095 0.0000397169 0.0000347959 0.0000279955 0.0000245409 0.0000198713 0.0000186563 0.0000164429 0.00001477 0.0000136009 0.0000136009
GSP_Buckner_HU_00278 0.0000729392 0.0000484172 0.0000341747 0.0000266032 0.0000229328 0.0000182308 0.0000167479 0.0000148208 0.0000132775 0.0000122621 0.0000122621
